CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
738,C5H10N2O3,C(CC(=O)N)C(C(=O)O)N,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)",ZDXPYRJPNDTMRX-UHFFFAOYSA-N,"2,5-diamino-5-oxopentanoic acid","2,5-Diamino-5-oxopentanoic acid"
611,C5H9NO4,C(CC(=O)O)C(C(=O)O)N,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",WHUUTDBJXJRKMK-UHFFFAOYSA-N,2-aminopentanedioic acid,2-Aminopentanedioic acid
876,C5H11NO2S,CSCCC(C(=O)O)N,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",FFEARJCKVFRZRR-UHFFFAOYSA-N,2-amino-4-methylsulfanylbutanoic acid,2-Amino-4-(methylsulfanyl)butanoic acid
994,C9H11NO2,C1=CC=C(C=C1)CC(C(=O)O)N,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)",COLNVLDHVKWLRT-UHFFFAOYSA-N,2-amino-3-phenylpropanoic acid,2-Amino-3-phenylpropanoic acid
7922,C4H4O3,C1CC(=O)OC1=O,InChI=1S/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2,RINCXYDBBGOEEQ-UHFFFAOYSA-N,"oxolane-2,5-dione","Dihydrofuran-2,5-dione"
7918,C4H6O3,CC(=O)OC(=O)C,InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3,WFDIJRYMOXRFFG-UHFFFAOYSA-N,acetyl acetate,Acetic anhydride
78232,C4H4O4,C1C(=O)OC(=O)CO1,InChI=1S/C4H4O4/c5-3-1-7-2-4(6)8-3/h1-2H2,PIYNUZCGMLCXKJ-UHFFFAOYSA-N,"1,4-dioxane-2,6-dione","1,4-Dioxane-2,6-dione"
6811,C8H4O3,C1=CC=C2C(=C1)C(=O)OC2=O,InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H,LGRFSURHDFAFJT-UHFFFAOYSA-N,"2-benzofuran-1,3-dione","2-Benzofuran-1,3-dione"
239163,C6H6O5,C1C(C(=O)OC1=O)CC(=O)O,"InChI=1S/C6H6O5/c7-4(8)1-3-2-5(9)11-6(3)10/h3H,1-2H2,(H,7,8)",LYANEXCVXFZQFF-UHFFFAOYSA-N,"2-(2,5-dioxooxolan-3-yl)acetic acid","(2,5-Dioxotetrahydrofuran-3-yl)acetic acid"
513918,C8H2F2O3,C1=CC(=C2C(=C1F)C(=O)OC2=O)F,InChI=1S/C8H2F2O3/c9-3-1-2-4(10)6-5(3)7(11)13-8(6)12/h1-2H,AVLRPSLTCCWJKC-UHFFFAOYSA-N,"4,7-difluoro-2-benzofuran-1,3-dione","4,7-Difluoro-2-benzofuran-1,3-dione"
