CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
57449925,BeO,[7Be]=O,InChI=1S/Be.O/i1-2;,LTPBRCUWZOMYOC-FXMLPJBTSA-N,oxo(7Be)beryllium-7,BeO
58280986,Sr,[84Sr],InChI=1S/Sr/i1-4,CIOAGBVUUVVLOB-AHCXROLUSA-N,strontium-84,Sr
58302941,Ag2O,O=[Ag].[Ag],InChI=1S/2Ag.O,KHJDQHIZCZTCAE-UHFFFAOYSA-N,oxosilver;silver,Ag2O
59423141,Bi2O3,O=[Bi].O=[Bi]=O,InChI=1S/2Bi.3O,WMWLMWRWZQELOS-UHFFFAOYSA-N,,Bi2O3
59475671,MnO+,[O+]#[Mn],InChI=1S/Mn.O/q;+1,LVPDYPVQUPXEGJ-UHFFFAOYSA-N,oxoniumylidynemanganese,MnO
59479314,O3Sb2,O=[Sb].O=[Sb]=O,InChI=1S/3O.2Sb,ADCOVFLJGNWWNZ-UHFFFAOYSA-N,,Sb2O3
60132476,Mn2O,O=[Mn].[Mn],InChI=1S/2Mn.O,HKOIEASMLFGBQY-UHFFFAOYSA-N,manganese;oxomanganese,Mn2O
60160913,MnO2-,[O-][Mn]=O,InChI=1S/Mn.2O/q;;-1,RHJXHJNJEYHQHO-UHFFFAOYSA-N,oxido(oxo)manganese,MnO2
66561989,Al2O3,O(O[Al])O[Al],InChI=1S/2Al.H2O3/c;;1-3-2/h;;1-2H/q2*+1;/p-2,KGXDSEDBTZXOHF-UHFFFAOYSA-L,,Al2O3
71308967,O2Pb-,[O-][Pb]=O,InChI=1S/2O.Pb/q;-1;,JRGXDBHXRGJEPV-UHFFFAOYSA-N,,PbO2
71309212,Fe+2,[55Fe+2],InChI=1S/Fe/q+2/i1-1,CWYNVVGOOAEACU-BJUDXGSMSA-N,iron-55(2+),Fe
71309411,Fe2O3,[17O]=[Fe][17O][Fe]=[17O],InChI=1S/2Fe.3O/i;;3*1+1,JEIPFZHSYJVQDO-AMUARUGPSA-N,oxidanylidene((17O)oxidanylideneferriooxy)iron,Fe2O3
